NUM_ANP	ID_ANP	ID_DOF	NOMBRE	CATEGORIA DE MANEJO	ESTADOS	REGION	SUPERFICIE	SUPERFICIE TERRESTRE	SUPERFICIE MARINA	PRIMER DECRETO	ÚLTIMA PUBLICACIÓN DE DECRETO	PROGRAMA DE MANEJO	CERTIFICADO SINAP	DESIGNACIONES INTERNACIONALES
115	ANP00907115	9.7.01.115	Yum Balam	Área de Protección de Flora y Fauna	Quintana Roo	Península de Yucatán y Caribe Mexicano	154052.25	52307.61811	101744.6319	1994-06-06	1994-06-06	2018-10-05	SINAP 014	Ramsar
116	ANP00707116	7.7.01.116	Laguna de Términos	Área de Protección de Flora y Fauna	Campeche	Planicie Costera y Golfo de México	706147.67	547278.7051	158868.9649	1994-06-06	1994-06-06	1997-06-04	SINAP 077	Ramsar
117	ANP00903117	9.3.03.117	Arrecife Alacranes	Parque Nacional	Yucatán	Península de Yucatán y Caribe Mexicano	333768.505	53.001756	333715.5032	1994-06-06	2000-06-07	2007-11-29	SINAP 049	Ramsar; UNESCO Reserva de la Biosfera MAB
118	ANP00407118	4.7.03.118	Cañón de Santa Elena	Área de Protección de Flora y Fauna	Chihuahua	Noreste y Sierra Madre Oriental	277209.7213	277209.7213	0	1994-11-07	1994-11-07	2012-06-05	SINAP 011	
119	ANP00407119	4.7.04.119	Maderas del Carmen	Área de Protección de Flora y Fauna	Coahuila	Noreste y Sierra Madre Oriental	208381.15	208381.15	0	1994-11-07	1994-11-07	2012-06-06	SINAP 009	
120	ANP00407120	4.7.05.120	Cuatrociénegas	Área de Protección de Flora y Fauna	Coahuila	Noreste y Sierra Madre Oriental	84347.47	84347.47	0	1994-11-07	1994-11-07	2000-03-24	SINAP 018	Ramsar
121	ANP00907121	9.7.02.121	Uaymil	Área de Protección de Flora y Fauna	Quintana Roo	Península de Yucatán y Caribe Mexicano	89118.15355	89118.15355	0	1994-11-17	1994-11-23	2011-05-03	SINAP 028	
122	ANP00801122	8.1.05.122	La Encrucijada	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	144868.1588	115652.7341	29215.42463	1995-06-06	1995-06-06	2000-09-13	SINAP 013	Ramsar; UNESCO Reserva de la Biosfera MAB
123	ANP00801123	8.1.06.123	La Sepultura	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	167309.8625	167309.8625	0	1995-06-06	1995-06-06	2000-09-15	SINAP 017	UNESCO Reserva de la Biosfera MAB
124	ANP00103124	1.3.03.124	Cabo Pulmo	Parque Nacional	Baja California Sur	Península de Baja California y Pacífico Norte	7111.01	38.857842	7072.152158	1995-06-06	2000-06-07	2009-11-13	SINAP 051	UNESCO Patrimonio Mundial Natural (Serial)
125	ANP00207125	2.7.03.125	Sierra de Álamos-Río Cuchujaqui	Área de Protección de Flora y Fauna	Sonora	Noroeste y Alto Golfo de California	92889.69415	92889.69415	0	1996-07-19	1996-07-19	2015-06-05	SINAP 047	
126	ANP00901126	9.1.03.126	Banco Chinchorro	Reserva de la Biosfera	Quintana Roo	Península de Yucatán y Caribe Mexicano	144360	585.786928	143774.2131	1996-07-19	1996-07-19	2000-09-25	SINAP 033	Ramsar; UNESCO Reserva de la Biosfera MAB
127	ANP00903127	9.3.04.127	Costa Occ. de I. Mujeres, Pta. Cancún y Pta. Nizuc	Parque Nacional	Quintana Roo	Península de Yucatán y Caribe Mexicano	8673.06	0.607161	8672.452839	1996-07-19	2000-06-07	2016-08-02		
128	ANP00903128	9.3.05.128	Arrecifes de Cozumel	Parque Nacional	Quintana Roo	Península de Yucatán y Caribe Mexicano	11987.875	82.278916	11905.59608	1996-07-19	2000-06-07	1998-10-02	SINAP 046	Ramsar
129	ANP00103129	1.3.04.129	Bahía de Loreto	Parque Nacional	Baja California Sur	Península de Baja California y Pacífico Norte	206580.75	21692.07876	184888.6712	1996-07-19	2000-06-07	2019-04-23	SINAP 007	UNESCO Patrimonio Mundial Natural (Serial)
130	ANP00601130	6.1.01.130	Sierra Gorda	Reserva de la Biosfera	Querétaro	Centro y Eje Neovolcánico	383567.4488	383567.4488	0	1997-05-19	1997-05-19	2000-05-08	SINAP 022	UNESCO Reserva de la Biosfera MAB
131	ANP00903131	9.3.06.131	Isla Contoy	Parque Nacional	Quintana Roo	Península de Yucatán y Caribe Mexicano	5126.2595	230	4896.2595	1998-02-02	1998-02-02	2015-07-09	SINAP 008	Ramsar
132	ANP00901132	9.1.04.132	Arrecifes de Sian Ka'an	Reserva de la Biosfera	Quintana Roo	Península de Yucatán y Caribe Mexicano	34927.1584	1361.001633	33566.15677	1998-02-02	1998-02-02	2011-06-13	SINAP 015	Ramsar; UNESCO Reserva de la Biosfera MAB; UNESCO Patrimonio Mundial Natural
133	ANP00903133	9.3.07.133	Arrecife de Puerto Morelos	Parque Nacional	Quintana Roo	Península de Yucatán y Caribe Mexicano	9066.6311	37.743644	9028.887456	1998-02-02	1998-02-02	2000-09-18	SINAP 044	Ramsar
134	ANP00803134	8.3.06.134	Huatulco	Parque Nacional	Oaxaca	Frontera Sur, Istmo y Pacífico Sur	11890.98	6374.98	5516	1998-07-24	1998-07-24	2002-12-02	SINAP 048	Ramsar
135	ANP00601135	6.1.02.135	Tehuacán-Cuicatlán	Reserva de la Biosfera	Puebla y Oaxaca	Centro y Eje Neovolcánico	490186.8755	490186.8755	0	1998-09-18	1998-09-18	2012-06-08	SINAP 020	UNESCO Patrimonio Mundial Mixto; UNESCO Reserva de la Biosfera MAB
136	ANP00807136	8.7.03.136	Nahá	Área de Protección de Flora y Fauna	Chiapas	Frontera Sur, Istmo y Pacífico Sur	3847.41595	3847.41595	0	1998-09-23	1998-09-23	2009-01-07		
137	ANP00807137	8.7.04.137	Metzabok	Área de Protección de Flora y Fauna	Chiapas	Frontera Sur, Istmo y Pacífico Sur	3368.35875	3368.35875	0	1998-09-23	1998-09-23	2009-01-06		
138	ANP00701138	7.1.02.138	Los Tuxtlas	Reserva de la Biosfera	Veracruz	Planicie Costera y Golfo de México	155122.469	155122.469	0	1998-11-23	1998-11-23	2009-11-27	SINAP 003	Ramsar; UNESCO Reserva de la Biosfera MAB
139	ANP00901139	9.1.05.139	Ría Lagartos	Reserva de la Biosfera	Yucatán	Península de Yucatán y Caribe Mexicano	60347.8271	60347.8271	0	1999-05-21	1999-05-21	2000-04-12	SINAP 034	Ramsar; UNESCO Reserva de la Biosfera MAB
140	ANP00804140	8.4.03.140	Yagul	Monumento Natural	Oaxaca	Frontera Sur, Istmo y Pacífico Sur	1076.06386	1076.06386	0	1999-05-24	1999-05-24	2007-11-27		
141	ANP00901141	9.1.06.141	Los Petenes	Reserva de la Biosfera	Campeche	Península de Yucatán y Caribe Mexicano	282857.6271	100866.5252	181991.1019	1999-05-24	1999-05-24	2009-04-22	SINAP 042	Ramsar; UNESCO Reserva de la Biosfera MAB
